period,gender,age_group,brand,ratio
2024-01-23,male,10대,게토레이,8.7
2024-01-23,male,10대,파워에이드,10.87
2024-01-23,male,10대,토레타,2.17
2024-01-23,male,10대,링티,17.39
2024-01-24,male,10대,포카리스웨트,41.3
2024-01-24,male,10대,게토레이,19.57
2024-01-24,male,10대,파워에이드,6.52
2024-01-24,male,10대,토레타,6.52
2024-01-24,male,10대,링티,26.09
2024-01-25,male,10대,포카리스웨트,43.55
2024-01-25,male,10대,게토레이,17.74
2024-01-25,male,10대,파워에이드,11.29
2024-01-25,male,10대,토레타,8.06
2024-01-25,male,10대,링티,19.35
2024-01-26,male,10대,포카리스웨트,38.18
2024-01-26,male,10대,게토레이,16.36
2024-01-26,male,10대,파워에이드,21.82
2024-01-26,male,10대,토레타,1.82
2024-01-26,male,10대,링티,21.82
2024-01-27,male,10대,포카리스웨트,36.11
2024-01-27,male,10대,게토레이,11.11
2024-01-27,male,10대,파워에이드,22.22
2024-01-27,male,10대,토레타,13.89
2024-01-27,male,10대,링티,16.67
2024-01-28,male,10대,포카리스웨트,53.13
2024-01-28,male,10대,게토레이,6.25
2024-01-28,male,10대,파워에이드,9.37
2024-01-28,male,10대,토레타,12.5
2024-01-28,male,10대,링티,18.75
2024-01-29,male,10대,포카리스웨트,52.83
2024-01-29,male,10대,게토레이,9.43
2024-01-29,male,10대,파워에이드,22.64
2024-01-29,male,10대,토레타,5.66
2024-01-29,male,10대,링티,9.43
2024-01-30,male,10대,포카리스웨트,50.0
2024-01-30,male,10대,게토레이,7.5
2024-01-30,male,10대,파워에이드,17.5
2024-01-30,male,10대,토레타,7.5
2024-01-30,male,10대,링티,17.5
2024-01-31,male,10대,포카리스웨트,46.67
2024-01-31,male,10대,게토레이,20.0
2024-01-31,male,10대,파워에이드,16.67
2024-01-31,male,10대,토레타,1.67
2024-01-31,male,10대,링티,15.0
2024-02-01,male,10대,포카리스웨트,38.89
2024-02-01,male,10대,게토레이,25.0
2024-02-01,male,10대,파워에이드,16.67
2024-02-01,male,10대,토레타,5.56
2024-02-01,male,10대,링티,13.89
2024-02-02,male,10대,포카리스웨트,38.0
2024-02-02,male,10대,게토레이,20.0
2024-02-02,male,10대,파워에이드,8.0
2024-02-02,male,10대,토레타,16.0
2024-02-02,male,10대,링티,18.0
2024-02-03,male,10대,포카리스웨트,33.33
2024-02-03,male,10대,게토레이,25.64
2024-02-03,male,10대,파워에이드,15.38
2024-02-03,male,10대,토레타,7.69
2024-02-03,male,10대,링티,17.95
2024-02-04,male,10대,포카리스웨트,31.58
2024-02-04,male,10대,게토레이,28.95
2024-02-04,male,10대,파워에이드,21.05
2024-02-04,male,10대,토레타,7.89
2024-02-04,male,10대,링티,10.53
2024-02-05,male,10대,포카리스웨트,51.28
2024-02-05,male,10대,게토레이,10.26
2024-02-05,male,10대,파워에이드,17.95
2024-02-05,male,10대,토레타,0.0
2024-02-05,male,10대,링티,20.51
2024-02-06,male,10대,포카리스웨트,41.07
2024-02-06,male,10대,게토레이,16.07
2024-02-06,male,10대,파워에이드,12.5
2024-02-06,male,10대,토레타,8.93
2024-02-06,male,10대,링티,21.43
2024-02-07,male,10대,포카리스웨트,32.2
2024-02-07,male,10대,게토레이,27.12
2024-02-07,male,10대,파워에이드,16.95
2024-02-07,male,10대,토레타,3.39
2024-02-07,male,10대,링티,20.34
2024-02-08,male,10대,포카리스웨트,32.35
2024-02-08,male,10대,게토레이,20.59
2024-02-08,male,10대,파워에이드,5.88
2024-02-08,male,10대,토레타,8.82
2024-02-08,male,10대,링티,32.35
2024-02-09,male,10대,포카리스웨트,45.28
2024-02-09,male,10대,게토레이,5.66
2024-02-09,male,10대,파워에이드,24.53
2024-02-09,male,10대,토레타,5.66
2024-02-09,male,10대,링티,18.87
2024-02-10,male,10대,포카리스웨트,47.83
2024-02-10,male,10대,게토레이,6.52
2024-02-10,male,10대,파워에이드,17.39
2024-02-10,male,10대,토레타,13.04
2024-02-10,male,10대,링티,15.22
2024-02-11,male,10대,포카리스웨트,39.29
2024-02-11,male,10대,게토레이,10.71
2024-02-11,male,10대,파워에이드,25.0
2024-02-11,male,10대,토레타,12.5
2024-02-11,male,10대,링티,12.5
2024-02-12,male,10대,포카리스웨트,39.34
2024-02-12,male,10대,게토레이,9.84
2024-02-12,male,10대,파워에이드,13.11
2024-02-12,male,10대,토레타,4.92
2024-02-12,male,10대,링티,32.79
2024-02-13,male,10대,포카리스웨트,33.33
2024-02-13,male,10대,게토레이,26.19
2024-02-13,male,10대,파워에이드,21.43
2024-02-13,male,10대,토레타,4.76
2024-02-13,male,10대,링티,14.29
2024-02-14,male,10대,포카리스웨트,38.64
2024-02-14,male,10대,게토레이,9.09
2024-02-14,male,10대,파워에이드,18.18
2024-02-14,male,10대,토레타,11.36
2024-02-14,male,10대,링티,22.73
2024-02-15,male,10대,포카리스웨트,27.63
2024-02-15,male,10대,게토레이,18.42
2024-02-15,male,10대,파워에이드,17.11
2024-02-15,male,10대,토레타,17.11
2024-02-15,male,10대,링티,19.74
2024-02-16,male,10대,포카리스웨트,35.37
2024-02-16,male,10대,게토레이,10.98
2024-02-16,male,10대,파워에이드,17.07
2024-02-16,male,10대,토레타,17.07
2024-02-16,male,10대,링티,19.51
2024-02-17,male,10대,포카리스웨트,41.54
2024-02-17,male,10대,게토레이,30.77
2024-02-17,male,10대,파워에이드,9.23
2024-02-17,male,10대,토레타,4.62
2024-02-17,male,10대,링티,13.85
2024-02-18,male,10대,포카리스웨트,35.14
2024-02-18,male,10대,게토레이,32.43
2024-02-18,male,10대,파워에이드,21.62
2024-02-18,male,10대,토레타,4.05
2024-02-18,male,10대,링티,6.76
2024-02-19,male,10대,포카리스웨트,34.92
2024-02-19,male,10대,게토레이,41.27
2024-02-19,male,10대,파워에이드,6.35
2024-02-19,male,10대,토레타,3.17
2024-02-19,male,10대,링티,14.29
2024-02-20,male,10대,포카리스웨트,23.08
2024-02-20,male,10대,게토레이,34.62
2024-02-20,male,10대,파워에이드,19.23
2024-02-20,male,10대,토레타,5.77
2024-02-20,male,10대,링티,17.31
2024-02-21,male,10대,포카리스웨트,29.09
2024-02-21,male,10대,게토레이,20.0
2024-02-21,male,10대,파워에이드,16.36
2024-02-21,male,10대,토레타,5.45
2024-02-21,male,10대,링티,29.09
2024-02-22,male,10대,포카리스웨트,25.86
2024-02-22,male,10대,게토레이,25.86
2024-02-22,male,10대,파워에이드,25.86
2024-02-22,male,10대,토레타,5.17
2024-02-22,male,10대,링티,17.24
2024-02-23,male,10대,포카리스웨트,26.32
2024-02-23,male,10대,게토레이,44.74
2024-02-23,male,10대,파워에이드,15.79
2024-02-23,male,10대,토레타,5.26
2024-02-23,male,10대,링티,7.89
2024-02-24,male,10대,포카리스웨트,20.73
2024-02-24,male,10대,게토레이,54.88
2024-02-24,male,10대,파워에이드,9.76
2024-02-24,male,10대,토레타,3.66
2024-02-24,male,10대,링티,10.98
2024-02-25,male,10대,포카리스웨트,27.5
2024-02-25,male,10대,게토레이,42.5
2024-02-25,male,10대,파워에이드,7.5
2024-02-25,male,10대,토레타,5.0
2024-02-25,male,10대,링티,17.5
2024-02-26,male,10대,포카리스웨트,21.88
2024-02-26,male,10대,게토레이,45.83
2024-02-26,male,10대,파워에이드,21.88
2024-02-26,male,10대,토레타,3.12
2024-02-26,male,10대,링티,7.29
2024-02-27,male,10대,포카리스웨트,23.53
2024-02-27,male,10대,게토레이,48.24
2024-02-27,male,10대,파워에이드,10.59
2024-02-27,male,10대,토레타,2.35
2024-02-27,male,10대,링티,15.29
2024-02-28,male,10대,포카리스웨트,26.23
2024-02-28,male,10대,게토레이,47.54
2024-02-28,male,10대,파워에이드,14.75
2024-02-28,male,10대,토레타,1.64
2024-02-28,male,10대,링티,9.84
2024-02-29,male,10대,포카리스웨트,25.42
2024-02-29,male,10대,게토레이,33.9
2024-02-29,male,10대,파워에이드,16.95
2024-02-29,male,10대,토레타,1.69
2024-02-29,male,10대,링티,22.03
2024-03-01,male,10대,포카리스웨트,22.86
2024-03-01,male,10대,게토레이,31.43
2024-03-01,male,10대,파워에이드,20.0
2024-03-01,male,10대,토레타,8.57
2024-03-01,male,10대,링티,17.14
2024-03-02,male,10대,포카리스웨트,29.51
2024-03-02,male,10대,게토레이,14.75
2024-03-02,male,10대,파워에이드,16.39
2024-03-02,male,10대,토레타,13.11
2024-03-02,male,10대,링티,26.23
2024-03-03,male,10대,포카리스웨트,34.69
2024-03-03,male,10대,게토레이,28.57
2024-03-03,male,10대,파워에이드,20.41
2024-03-03,male,10대,토레타,6.12
2024-03-03,male,10대,링티,10.2
2024-03-04,male,10대,포카리스웨트,46.34
2024-03-04,male,10대,게토레이,9.76
2024-03-04,male,10대,파워에이드,21.95
2024-03-04,male,10대,토레타,12.2
2024-03-04,male,10대,링티,9.76
2024-03-05,male,10대,포카리스웨트,37.74
2024-03-05,male,10대,게토레이,5.66
2024-03-05,male,10대,파워에이드,24.53
2024-03-05,male,10대,토레타,13.21
2024-03-05,male,10대,링티,18.87
2024-03-06,male,10대,포카리스웨트,35.29
2024-03-06,male,10대,게토레이,23.53
2024-03-06,male,10대,파워에이드,17.65
2024-03-06,male,10대,토레타,11.76
2024-03-06,male,10대,링티,11.76
2024-03-07,male,10대,포카리스웨트,46.38
2024-03-07,male,10대,게토레이,13.04
2024-03-07,male,10대,파워에이드,17.39
2024-03-07,male,10대,토레타,2.9
2024-03-07,male,10대,링티,20.29
2024-03-08,male,10대,포카리스웨트,22.22
2024-03-08,male,10대,게토레이,24.44
2024-03-08,male,10대,파워에이드,26.67
2024-03-08,male,10대,토레타,8.89
2024-03-08,male,10대,링티,17.78
2024-03-09,male,10대,포카리스웨트,40.0
2024-03-09,male,10대,게토레이,26.0
2024-03-09,male,10대,파워에이드,10.0
2024-03-09,male,10대,토레타,4.0
2024-03-09,male,10대,링티,20.0
2024-03-10,male,10대,포카리스웨트,27.91
2024-03-10,male,10대,게토레이,31.4
2024-03-10,male,10대,파워에이드,13.95
2024-03-10,male,10대,토레타,3.49
2024-03-10,male,10대,링티,23.26
2024-03-11,male,10대,포카리스웨트,32.73
2024-03-11,male,10대,게토레이,20.0
2024-03-11,male,10대,파워에이드,18.18
2024-03-11,male,10대,토레타,5.45
2024-03-11,male,10대,링티,23.64
2024-03-12,male,10대,포카리스웨트,28.21
2024-03-12,male,10대,게토레이,12.82
2024-03-12,male,10대,파워에이드,15.38
2024-03-12,male,10대,토레타,7.69
2024-03-12,male,10대,링티,35.9
2024-03-13,male,10대,포카리스웨트,37.74
2024-03-13,male,10대,게토레이,13.21
2024-03-13,male,10대,파워에이드,16.98
2024-03-13,male,10대,토레타,13.21
2024-03-13,male,10대,링티,18.87
2024-03-14,male,10대,포카리스웨트,29.76
2024-03-14,male,10대,게토레이,25.0
2024-03-14,male,10대,파워에이드,19.05
2024-03-14,male,10대,토레타,5.95
2024-03-14,male,10대,링티,20.24
2024-03-15,male,10대,포카리스웨트,36.21
2024-03-15,male,10대,게토레이,20.69
2024-03-15,male,10대,파워에이드,22.41
2024-03-15,male,10대,토레타,6.9
2024-03-15,male,10대,링티,13.79
2024-03-16,male,10대,포카리스웨트,26.0
2024-03-16,male,10대,게토레이,34.0
2024-03-16,male,10대,파워에이드,14.0
2024-03-16,male,10대,토레타,13.0
2024-03-16,male,10대,링티,13.0
2024-03-17,male,10대,포카리스웨트,38.78
2024-03-17,male,10대,게토레이,38.78
2024-03-17,male,10대,파워에이드,14.29
2024-03-17,male,10대,토레타,0.0
2024-03-17,male,10대,링티,8.16
2024-03-18,male,10대,포카리스웨트,35.0
2024-03-18,male,10대,게토레이,13.33
2024-03-18,male,10대,파워에이드,28.33
2024-03-18,male,10대,토레타,8.33
2024-03-18,male,10대,링티,15.0
2024-03-19,male,10대,포카리스웨트,45.1
2024-03-19,male,10대,게토레이,7.84
2024-03-19,male,10대,파워에이드,13.73
2024-03-19,male,10대,토레타,15.69
2024-03-19,male,10대,링티,17.65
2024-03-20,male,10대,포카리스웨트,48.33
2024-03-20,male,10대,게토레이,10.0
2024-03-20,male,10대,파워에이드,18.33
2024-03-20,male,10대,토레타,6.67
2024-03-20,male,10대,링티,16.67
2024-03-21,male,10대,포카리스웨트,38.55
2024-03-21,male,10대,게토레이,20.48
2024-03-21,male,10대,파워에이드,21.69
2024-03-21,male,10대,토레타,7.23
2024-03-21,male,10대,링티,12.05
2024-03-22,male,10대,포카리스웨트,33.33
2024-03-22,male,10대,게토레이,7.41
2024-03-22,male,10대,파워에이드,20.37
2024-03-22,male,10대,토레타,9.26
2024-03-22,male,10대,링티,29.63
2024-03-23,male,10대,포카리스웨트,41.67
2024-03-23,male,10대,게토레이,11.67
2024-03-23,male,10대,파워에이드,20.0
2024-03-23,male,10대,토레타,13.33
2024-03-23,male,10대,링티,13.33
2024-03-24,male,10대,포카리스웨트,27.78
2024-03-24,male,10대,게토레이,22.22
2024-03-24,male,10대,파워에이드,20.83
2024-03-24,male,10대,토레타,6.94
2024-03-24,male,10대,링티,22.22
2024-03-25,male,10대,포카리스웨트,35.62
2024-03-25,male,10대,게토레이,17.81
2024-03-25,male,10대,파워에이드,21.92
2024-03-25,male,10대,토레타,4.11
2024-03-25,male,10대,링티,20.55
2024-03-26,male,10대,포카리스웨트,50.82
2024-03-26,male,10대,게토레이,13.11
2024-03-26,male,10대,파워에이드,9.84
2024-03-26,male,10대,토레타,11.48
2024-03-26,male,10대,링티,14.75
2024-03-27,male,10대,포카리스웨트,47.13
2024-03-27,male,10대,게토레이,12.64
2024-03-27,male,10대,파워에이드,17.24
2024-03-27,male,10대,토레타,12.64
2024-03-27,male,10대,링티,10.34
2024-03-28,male,10대,포카리스웨트,42.11
2024-03-28,male,10대,게토레이,17.54
2024-03-28,male,10대,파워에이드,24.56
2024-03-28,male,10대,토레타,1.75
2024-03-28,male,10대,링티,14.04
2024-03-29,male,10대,포카리스웨트,48.39
2024-03-29,male,10대,게토레이,12.9
2024-03-29,male,10대,파워에이드,22.58
2024-03-29,male,10대,토레타,0.0
2024-03-29,male,10대,링티,16.13
2024-03-30,male,10대,포카리스웨트,35.71
2024-03-30,male,10대,게토레이,11.9
2024-03-30,male,10대,파워에이드,15.48
2024-03-30,male,10대,토레타,13.1
2024-03-30,male,10대,링티,23.81
2024-03-31,male,10대,포카리스웨트,28.99
2024-03-31,male,10대,게토레이,5.8
2024-03-31,male,10대,파워에이드,23.19
2024-03-31,male,10대,토레타,18.84
2024-03-31,male,10대,링티,23.19
2024-04-01,male,10대,포카리스웨트,28.47
2024-04-01,male,10대,게토레이,11.11
2024-04-01,male,10대,파워에이드,9.72
2024-04-01,male,10대,토레타,41.67
2024-04-01,male,10대,링티,9.03
2024-04-02,male,10대,포카리스웨트,39.56
2024-04-02,male,10대,게토레이,12.09
2024-04-02,male,10대,파워에이드,20.88
2024-04-02,male,10대,토레타,13.19
2024-04-02,male,10대,링티,14.29
2024-04-03,male,10대,포카리스웨트,48.19
2024-04-03,male,10대,게토레이,7.23
2024-04-03,male,10대,파워에이드,13.25
2024-04-03,male,10대,토레타,16.87
2024-04-03,male,10대,링티,14.46
2024-04-04,male,10대,포카리스웨트,40.91
2024-04-04,male,10대,게토레이,9.09
2024-04-04,male,10대,파워에이드,23.86
2024-04-04,male,10대,토레타,13.64
2024-04-04,male,10대,링티,12.5
2024-04-05,male,10대,포카리스웨트,54.12
2024-04-05,male,10대,게토레이,14.12
2024-04-05,male,10대,파워에이드,12.94
2024-04-05,male,10대,토레타,7.06
2024-04-05,male,10대,링티,11.76
2024-04-06,male,10대,포카리스웨트,42.65
2024-04-06,male,10대,게토레이,5.88
2024-04-06,male,10대,파워에이드,14.71
2024-04-06,male,10대,토레타,20.59
2024-04-06,male,10대,링티,16.18
2024-04-07,male,10대,포카리스웨트,34.52
2024-04-07,male,10대,게토레이,19.05
2024-04-07,male,10대,파워에이드,13.1
2024-04-07,male,10대,토레타,14.29
2024-04-07,male,10대,링티,19.05
2024-04-08,male,10대,포카리스웨트,44.44
2024-04-08,male,10대,게토레이,13.13
2024-04-08,male,10대,파워에이드,16.16
2024-04-08,male,10대,토레타,14.14
2024-04-08,male,10대,링티,12.12
2024-04-09,male,10대,포카리스웨트,41.25
2024-04-09,male,10대,게토레이,12.5
2024-04-09,male,10대,파워에이드,16.25
2024-04-09,male,10대,토레타,17.5
2024-04-09,male,10대,링티,12.5
2024-04-10,male,10대,포카리스웨트,31.65
2024-04-10,male,10대,게토레이,13.92
2024-04-10,male,10대,파워에이드,18.99
2024-04-10,male,10대,토레타,5.06
2024-04-10,male,10대,링티,30.38
2024-04-11,male,10대,포카리스웨트,51.95
2024-04-11,male,10대,게토레이,6.49
2024-04-11,male,10대,파워에이드,19.48
2024-04-11,male,10대,토레타,5.19
2024-04-11,male,10대,링티,16.88
2024-04-12,male,10대,포카리스웨트,55.68
2024-04-12,male,10대,게토레이,9.09
2024-04-12,male,10대,파워에이드,13.64
2024-04-12,male,10대,토레타,4.55
2024-04-12,male,10대,링티,17.05
2024-04-13,male,10대,포카리스웨트,52.94
2024-04-13,male,10대,게토레이,11.76
2024-04-13,male,10대,파워에이드,4.71
2024-04-13,male,10대,토레타,10.59
2024-04-13,male,10대,링티,20.0
2024-04-14,male,10대,포카리스웨트,38.89
2024-04-14,male,10대,게토레이,11.11
2024-04-14,male,10대,파워에이드,18.06
2024-04-14,male,10대,토레타,13.89
2024-04-14,male,10대,링티,18.06
2024-04-15,male,10대,포카리스웨트,36.73
2024-04-15,male,10대,게토레이,6.12
2024-04-15,male,10대,파워에이드,8.84
2024-04-15,male,10대,토레타,42.18
2024-04-15,male,10대,링티,6.12
2024-04-16,male,10대,포카리스웨트,40.91
2024-04-16,male,10대,게토레이,8.18
2024-04-16,male,10대,파워에이드,13.64
2024-04-16,male,10대,토레타,25.45
2024-04-16,male,10대,링티,11.82
2024-04-17,male,10대,포카리스웨트,47.79
2024-04-17,male,10대,게토레이,8.85
2024-04-17,male,10대,파워에이드,16.81
2024-04-17,male,10대,토레타,16.81
2024-04-17,male,10대,링티,9.73
2024-04-18,male,10대,포카리스웨트,49.53
2024-04-18,male,10대,게토레이,15.89
2024-04-18,male,10대,파워에이드,12.15
2024-04-18,male,10대,토레타,17.76
2024-04-18,male,10대,링티,4.67
2024-04-19,male,10대,포카리스웨트,57.27
2024-04-19,male,10대,게토레이,8.18
2024-04-19,male,10대,파워에이드,8.18
2024-04-19,male,10대,토레타,12.73
2024-04-19,male,10대,링티,13.64
2024-04-20,male,10대,포카리스웨트,41.49
2024-04-20,male,10대,게토레이,14.89
2024-04-20,male,10대,파워에이드,17.02
2024-04-20,male,10대,토레타,15.96
2024-04-20,male,10대,링티,10.64
2024-04-21,male,10대,포카리스웨트,49.43
2024-04-21,male,10대,게토레이,6.9
2024-04-21,male,10대,파워에이드,14.94
2024-04-21,male,10대,토레타,20.69
2024-04-21,male,10대,링티,8.05
2024-04-22,male,10대,포카리스웨트,50.96
2024-04-22,male,10대,게토레이,9.62
2024-04-22,male,10대,파워에이드,13.46
2024-04-22,male,10대,토레타,13.46
2024-04-22,male,10대,링티,12.5
2024-04-23,male,10대,포카리스웨트,41.41
2024-04-23,male,10대,게토레이,9.09
2024-04-23,male,10대,파워에이드,18.18
2024-04-23,male,10대,토레타,17.17
2024-04-23,male,10대,링티,14.14
2024-04-24,male,10대,포카리스웨트,52.43
2024-04-24,male,10대,게토레이,5.83
2024-04-24,male,10대,파워에이드,9.71
2024-04-24,male,10대,토레타,14.56
2024-04-24,male,10대,링티,17.48
2024-04-25,male,10대,포카리스웨트,45.87
2024-04-25,male,10대,게토레이,3.67
2024-04-25,male,10대,파워에이드,26.61
2024-04-25,male,10대,토레타,15.6
2024-04-25,male,10대,링티,8.26
2024-04-26,male,10대,포카리스웨트,40.17
2024-04-26,male,10대,게토레이,5.13
2024-04-26,male,10대,파워에이드,22.22
2024-04-26,male,10대,토레타,18.8
2024-04-26,male,10대,링티,13.68
2024-04-27,male,10대,포카리스웨트,34.07
2024-04-27,male,10대,게토레이,16.48
2024-04-27,male,10대,파워에이드,14.29
2024-04-27,male,10대,토레타,19.78
2024-04-27,male,10대,링티,15.38
2024-04-28,male,10대,포카리스웨트,29.9
2024-04-28,male,10대,게토레이,15.46
2024-04-28,male,10대,파워에이드,20.62
2024-04-28,male,10대,토레타,18.56
2024-04-28,male,10대,링티,15.46
2024-04-29,male,10대,포카리스웨트,47.27
2024-04-29,male,10대,게토레이,14.55
2024-04-29,male,10대,파워에이드,20.0
2024-04-29,male,10대,토레타,9.09
2024-04-29,male,10대,링티,9.09
2024-04-30,male,10대,포카리스웨트,42.17
2024-04-30,male,10대,게토레이,19.28
2024-04-30,male,10대,파워에이드,22.89
2024-04-30,male,10대,토레타,8.43
2024-04-30,male,10대,링티,7.23
2024-05-01,male,10대,포카리스웨트,46.59
2024-05-01,male,10대,게토레이,3.41
2024-05-01,male,10대,파워에이드,28.41
2024-05-01,male,10대,토레타,12.5
2024-05-01,male,10대,링티,9.09
2024-05-02,male,10대,포카리스웨트,33.64
2024-05-02,male,10대,게토레이,11.21
2024-05-02,male,10대,파워에이드,23.36
2024-05-02,male,10대,토레타,12.15
2024-05-02,male,10대,링티,19.63
2024-05-03,male,10대,포카리스웨트,37.5
2024-05-03,male,10대,게토레이,16.67
2024-05-03,male,10대,파워에이드,22.92
2024-05-03,male,10대,토레타,6.25
2024-05-03,male,10대,링티,16.67
2024-05-04,male,10대,포카리스웨트,30.59
2024-05-04,male,10대,게토레이,12.94
2024-05-04,male,10대,파워에이드,24.71
2024-05-04,male,10대,토레타,18.82
2024-05-04,male,10대,링티,12.94
2024-05-05,male,10대,포카리스웨트,20.97
2024-05-05,male,10대,게토레이,29.03
2024-05-05,male,10대,파워에이드,19.35
2024-05-05,male,10대,토레타,16.13
2024-05-05,male,10대,링티,14.52
2024-05-06,male,10대,포카리스웨트,30.38
2024-05-06,male,10대,게토레이,7.59
2024-05-06,male,10대,파워에이드,37.97
2024-05-06,male,10대,토레타,10.13
2024-05-06,male,10대,링티,13.92
2024-05-07,male,10대,포카리스웨트,47.44
2024-05-07,male,10대,게토레이,12.82
2024-05-07,male,10대,파워에이드,20.51
2024-05-07,male,10대,토레타,8.97
2024-05-07,male,10대,링티,10.26
2024-05-08,male,10대,포카리스웨트,47.95
2024-05-08,male,10대,게토레이,12.33
2024-05-08,male,10대,파워에이드,20.55
2024-05-08,male,10대,토레타,6.85
2024-05-08,male,10대,링티,12.33
2024-05-09,male,10대,포카리스웨트,35.71
2024-05-09,male,10대,게토레이,11.61
2024-05-09,male,10대,파워에이드,31.25
2024-05-09,male,10대,토레타,12.5
2024-05-09,male,10대,링티,8.93
2024-05-10,male,10대,포카리스웨트,42.98
2024-05-10,male,10대,게토레이,18.42
2024-05-10,male,10대,파워에이드,14.91
2024-05-10,male,10대,토레타,7.02
2024-05-10,male,10대,링티,16.67
2024-05-11,male,10대,포카리스웨트,40.51
2024-05-11,male,10대,게토레이,13.92
2024-05-11,male,10대,파워에이드,26.58
